track,name,long name
1,sem23-research,Semantics2023 Research Track
2,sem23-pd,Semantics2023 Posters and Demos Track
3,sem23-wt,Semantics2023 Workshops and Tutorials Track
4,sem23-industry,Semantics2023 IndustryTrack
