person,affiliation,quote,img
JEANNE HOLM,"Former Chief Knowledge Architect and Digital Strategy Manager at NASA","The level of conversation, the level of expectation of the participants and the level of sophistication of what they’re presenting is really astounding.",holm.jpg
MICHELE PASIN,"Lead Data Architect, Knowledge Graph Specialist, Springer Nature","The aspect I enjoy the most about this conference is the fact that it is tied to industry and you can meet so many different people that work in different areas and that wouldn’t happen normally at an academic conference… it’s the fact that the use cases people talk about and have to do with are very real.",pasin.jpg
JOSIANE PARREIRA,"Senior Research Scientist, Siemens AG Austria","The SEMANTiCS conference offers a good mix of academic and industry participants, making it a great place for exchanging ideas and views on different topics. Its Job Fair offers industries the possibility to contact people with very interesting profiles.",parreira.jpg
EMILIE BOILLAT,"Information Architect and Business Developer at Liip Zürich, Founder twygg","The SEMANTiCS Conference is a really great place to come and look for inspiration, implementation, partners, for ideas and for business models.",boillat.jpg
